,0,1,2,3,4
32,英記麵家,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/eng-kee-noodle-shop,麵食,"西營盤高街32號地下, Hong Kong, 香港",page - 2
33,全記海鮮 (海傍街),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/chuen-kee-seafood,海鮮,"西貢海傍街53號, Hong Kong, 香港",page - 2
34,夏宮,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/summer-palace,粵菜,"金鐘法院道太古廣場港島香格里拉酒店5樓, Hong Kong, 香港",page - 2
35,Bo Innovation,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/bo-innovation,創新菜,"灣仔莊士敦道60號J Senses 1樓平台8號舖, Hong Kong, 香港",page - 2
36,利苑酒家 (九龍灣),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lei-garden-kowloon-bay,粵菜,"九龍灣偉業街33號德福廣場一期F2號舖, Hong Kong, 香港",page - 2
37,Ryota Kappou Modern,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ryota-kappou-modern,日本菜,"中環安蘭街18號21樓, Hong Kong, 香港",page - 2
38,8 1/2 Otto e Mezzo - Bombana,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana,意大利菜,"中環遮打道18號歷山大廈2樓202號舖, Hong Kong, 香港",page - 2
39,利苑酒家 (北角),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lei-garden-north-point,粵菜,"北角城市花園道10號城市花園9-10座1樓, Hong Kong, 香港",page - 2
40,太湖海鮮城,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tai-woo-causeway-bay,粵菜,"銅鑼灣駱克道463-483號銅鑼灣廣場第二期9樓, Hong Kong, 香港",page - 3
41,蘇記燉蛋,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/so-kee,街頭小吃,"元朗鳳攸東街9號好順意大廈A座地下15號舖, Hong Kong, 香港",page - 3
42,The Butchers Club (Wan Chai),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/butchers-club,街頭小吃,"灣仔蘭杜街2號麗都大廈地下, Hong Kong, 香港",page - 3
43,唐閣,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/t-ang-court,粵菜,"尖沙咀北京道8號朗廷酒店1-2樓, Hong Kong, 香港",page - 3
