,0,1,2,3,4
129,欣圖軒,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yan-toh-heen,粵菜,"尖沙咀梳士巴利道18號(可經K11 Musea商場進⼊), Hong Kong, 香港",page - 7
130,泰館,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/samsen-sheung-wan,泰國菜,"上環蘇杭街23號地下, Hong Kong, 香港",page - 7
131,莆田 (銅鑼灣),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/putien-causeway-bay,閩菜,"銅鑼灣波斯富街99號利舞臺廣場7樓A舖, Hong Kong, 香港",page - 7
132,聚興家,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ju-xing-home,粵菜,"太子砵蘭街416及418號地下, Hong Kong, 香港",page - 7
133,蓮香居,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lin-heung-kui,粵菜,"上環德輔道西40-50號2-3樓, Hong Kong, 香港",page - 7
134,Beefbar,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/beefbar,扒房,"中環雪廠街16號西洋會所2樓, Hong Kong, 香港",page - 7
135,大班樓,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/the-chairman,粵菜,"中環九如坊18號, Hong Kong, 香港",page - 7
136,蘇浙滙 (灣仔),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/jardin-de-jade-wan-chai,滬菜,"灣仔港灣道30號新鴻基中心地下G3-4號舖, Hong Kong, 香港",page - 7
137,石記廚房,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/shek-kee-kitchen,粵菜,"天后銀幕街15-17號地下, Hong Kong, 香港",page - 7
138,坤記煲仔小菜 (皇后大道西),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kwan-kee-clay-pot-rice-queen-s-road-west,粵菜,"西營盤皇后大道西263號和益大廈地下1號舖, Hong Kong, 香港",page - 7
139,Tosca di Angelo,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tosca352519,意大利菜,"尖沙咀柯士甸道西1號環球貿易廣場麗思卡爾頓酒店102樓, Hong Kong, 香港",page - 7
140,Tate,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tate,創新菜,"上環荷李活道210號, Hong Kong, 香港",page - 8
141,九記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kau-kee,麵食,"中環歌賦街21號, Hong Kong, 香港",page - 8
142,酉玉,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/toritama,雞肉串燒,"中環己連拿利2號翠怡閣地舖, Hong Kong, 香港",page - 8
143,井巷子,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/jing-alley,川菜,"上環干諾道中145號多寧大廈地下, Hong Kong, 香港",page - 8
144,Bombay Dreams,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/bombay-dreams,印度菜,"中環雲咸街75-77號嘉兆商業大廈4樓, Hong Kong, 香港",page - 8
145,潮樂園 (北角),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/chiuchow-delicacies,潮州菜,"北角和富道96號僑裕大廈地下4號舖, Hong Kong, 香港",page - 8
146,竹家,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/takeya,日本菜,"紅磡黃埔新村德民街31C1安華樓1號舖, Hong Kong, 香港",page - 8
147,粥麵館,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/congee-and-noodle-shop,粥麵,"鰂魚涌英皇道683號嘉里中心2樓2A號舖, Hong Kong, 香港",page - 8
148,Joyful Dessert House,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/joyful-dessert-house-mong-kok,街頭小吃,"旺角黑布街74號藝興大廈地下2-3號舖, Hong Kong, 香港",page - 8
149,泰麵,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/samsen,泰國菜,"灣仔石水渠街68號地下, Hong Kong, 香港",page - 8
150,Fork Eat,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/fork-eat,街頭小吃,"元朗鳳攸北街11-15號益發大廈10號舖, Hong Kong, 香港",page - 8
151,Lucale,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lucale,意大利菜,"西營盤第三街100號地下A舖, Hong Kong, 香港",page - 8
152,增煇藝廚,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/glorious-cuisine,粵菜,"深水埗石硤尾街31-33號, Hong Kong, 香港",page - 8
153,陸羽茶室,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/luk-yu-tea-house,粵菜,"中環士丹利街24-26號, Hong Kong, 香港",page - 8
154,夜上海 (尖沙咀),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ye-shanghai-tsim-sha-tsui-1191719,滬菜,"尖沙咀梳士巴利道18號K11 Musea 7樓702號舖, Hong Kong, 香港",page - 8
155,麻辣燙,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/chilli-fagara,川菜,"中環奧卑利街7號地下, Hong Kong, 香港",page - 8
156,粤 (黃金海岸),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yue-gold-coast,粵菜,"屯門黃金海岸青山公路1號黃金海岸酒店低層, Hong Kong, 香港",page - 8
157,功德林 (銅鑼灣),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kung-tak-lam-causeway-bay,素食,"銅鑼灣告士打道280號世貿中心10樓, Hong Kong, 香港",page - 8
158,Chaat,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/chaat,印度菜,"尖沙咀梳士巴利道18號瑰麗酒店5樓, Hong Kong, 香港",page - 8
159,Zest by Konishi,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/zest-by-konishi,時尚法國菜,"中環安蘭街18號28-29樓, Hong Kong, 香港",page - 8
160,第三代肥仔,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/fat-boy,街頭小吃,"尖沙咀厚福街3號, Hong Kong, 香港",page - 9
161,吃什麼,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/what-to-eat,台灣菜,"中環雲咸街75-77號嘉兆商業大廈地下A舖, Hong Kong, 香港",page - 9
162,佳佳甜品,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kai-kai,街頭小吃,"佐敦寧波街29號, Hong Kong, 香港",page - 9
163,Mono,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/mono-1191514,拉丁美洲菜,"中環安蘭街18號5樓, Hong Kong, 香港",page - 9
164,生記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/sang-kee,粵菜,"灣仔軒尼詩道107-115號協生大廈1-2樓, Hong Kong, 香港",page - 9
165,麥記美食（北角）,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/mak-kee,街頭小吃,"北角堡壘街21號1號舖, Hong Kong, 香港",page - 9
166,Bostonian Seafood & Grill,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/bostonian-seafood-grill,扒房,"尖沙咀北京道8號朗廷酒店低層大堂, Hong Kong, 香港",page - 9
167,Kelly's Cape Bop,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kelly-s-cape-bop,街頭小吃,"灣仔莊士敦道55-61號修頓大廈C1舖, Hong Kong, 香港",page - 9
168,一宝,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ippoh,天婦羅,"中環鴨巴甸街39號, Hong Kong, 香港",page - 9
169,Odyssée,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/odyssee,時尚法國菜,"尖沙咀柯士甸道西1號環球貿易廣場101樓A號舖, Hong Kong, 香港",page - 9
170,旅,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ta-vie,創新菜,"中環士丹利街21號中環‧石板街酒店2樓, Hong Kong, 香港",page - 9
171,Giando,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/giando,意大利菜,"灣仔星街9號星域軒1座地下1號舖, Hong Kong, 香港",page - 9
172,裕記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yue-kee,粵菜,"深井深康路9號, Hong Kong, 香港",page - 9
173,海德花園,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/hyde-park-garden,海鮮,"鯉魚門海傍道中44號, Hong Kong, 香港",page - 9
174,浙江軒,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/zhejiang-heen,浙江菜,"灣仔駱克道300-306號僑阜商業大廈1-3樓, Hong Kong, 香港",page - 9
175,益新,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yixin,粵菜,"灣仔軒尼詩道50號, Hong Kong, 香港",page - 9
176,Le Garçon Saigon,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/le-garcon-saigon,越南菜,"灣仔永豐街12-18號地下, Hong Kong, 香港",page - 9
177,十八座狗仔粉 (佐敦),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/block-18-doggie-s-noodle,街頭小吃,"佐敦寧波街27A地下, Hong Kong, 香港",page - 9
178,甬府,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yong-fu-1191533,寧波菜,"灣仔駱克道20-24號金星大廈地下2號舖及1樓, Hong Kong, 香港",page - 9
179,Frantzén's Kitchen,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/frantzen-s-kitchen,斯堪的納維亞菜,"上環差館上街11號, Hong Kong, 香港",page - 9
180,鑄·鐵板燒,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/im-teppanyaki-wine,鐵板燒,"大坑銅鑼灣道134號, Hong Kong, 香港",page - 10
181,波記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/po-kee,燒味,"西環皇后大道西425P號, Hong Kong, 香港",page - 10
182,何洪記 (銅鑼灣),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ho-hung-kee,粥麵,"銅鑼灣軒尼詩道500號希慎廣場12樓1204-1205號舖, Hong Kong, 香港",page - 10
183,品,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/piin,時尚中國菜,"中環砵典乍街45號H Code‧The Steps 2樓, Hong Kong, 香港",page - 10
184,名人坊,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/celebrity-cuisine,粵菜,"中環九如坊3號蘭桂坊酒店1樓, Hong Kong, 香港",page - 10
185,Carbone,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/carbone467736,美國意大利菜,"中環雲咸街33號蘭桂芳大廈9樓, Hong Kong, 香港",page - 10
186,Hansik Goo,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/hansik-goo,韓國菜,"中環擺花街8號2樓, Hong Kong, 香港",page - 10
187,Neighborhood,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/neighborhood,時尚歐陸菜,"中環荷李活道61-63號, Hong Kong, 香港",page - 10
188,龍景軒,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lung-king-heen,粵菜,"中環金融街8號四季酒店4樓, Hong Kong, 香港",page - 10
189,富豪,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/fu-ho-tsim-sha-tsui,粵菜,"尖沙咀彌敦道132號美麗華廣場一期食四方4樓402號舖, Hong Kong, 香港",page - 10
190,天鴻燒鵝,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tin-hung,燒味,"元朗建業街88號仁義大廈地下D舖, Hong Kong, 香港",page - 10
191,添好運 (深水埗),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tim-ho-wan-sham-shui-po,點心,"深水埗福榮街9-11號, Hong Kong, 香港",page - 10
192,錦,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/nishiki,日本菜,"尖沙咀麼地道71號富豪九龍酒店1樓103室, Hong Kong, 香港",page - 10
193,瑞士餐廳,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/the-swiss-chalet,瑞士菜,"尖沙咀赫德道8號地下, Hong Kong, 香港",page - 10
194,書湘門第 (西環),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/cafe-hunan-western-district,湘菜,"西環皇后大道西420-424號, Hong Kong, 香港",page - 10
195,Aaharn,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/aaharn,泰國菜,"中環荷李活道10號大館2座1樓, Hong Kong, 香港",page - 10
196,吉地士,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/gaddi-s,法國菜,"尖沙咀梳士巴利道半島酒店1樓, Hong Kong, 香港",page - 10
197,Arbor,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/arbor,創新菜,"中環皇后大道中80號H Queen's 25樓, Hong Kong, 香港",page - 10
198,椰小盅（太子）,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/coconut-soup-prince-edward,街頭小吃,"太子白楊街2A號舖, Hong Kong, 香港",page - 10
199,The Araki,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/the-araki-1191575,壽司,"尖沙咀廣東道2A號富衛1881公館前馬廐地下, Hong Kong, 香港",page - 10
200,千色車仔麵,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/chin-sik,街頭小吃,"荃灣兆和街49號, Hong Kong, 香港",page - 11
201,麵鮮醬油房周月 (中環),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/shugetsu-ramen-central,拉麵,"中環歌賦街5號, Hong Kong, 香港",page - 11
202,正斗粥麵專家 (中環),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tasty-central,粥麵,"中環港景街1號國際金融中心商場3樓3016-3018號舖, Hong Kong, 香港",page - 11
203,天寶閣,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/celestial-court,粵菜,"尖沙咀彌敦道20號喜來登酒店2樓, Hong Kong, 香港",page - 11
204,福元湯圓,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/fook-yuen,街頭小吃,"北角福元街7號利都樓地下I-1舖, Hong Kong, 香港",page - 11
205,逸東軒,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yat-tung-heen-jordan,粵菜,"佐敦彌敦道380號逸東酒店地庫2樓, Hong Kong, 香港",page - 11
206,強記美食,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/keung-kee,街頭小吃,"灣仔駱克道382號, Hong Kong, 香港",page - 11
207,L'Atelier de Joël Robuchon,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/l-atelier-de-joel-robuchon,時尚法國菜,"中環皇后大道中15號置地廣場中庭4樓401號舖, Hong Kong, 香港",page - 11
208,瑞兆,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/zuicho,日本菜,"上環蘇杭街29號尚圜地下, Hong Kong, 香港",page - 11
209,文記車仔麵,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/man-kei-cart-noodles,街頭小吃,"深水埗福榮街121號, Hong Kong, 香港",page - 11
210,都爹利會館,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/duddell-s,粵菜,"中環都爹利街1號上海灘3樓, Hong Kong, 香港",page - 11
211,東來順,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/dong-lai-shun,"京菜, 京菜","尖東麼地道69號帝苑酒店地庫2樓, Hong Kong, 香港",page - 11
212,新園興記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/sun-yuen-hing-kee,燒味,"上環皇后大道中327-329號, Hong Kong, 香港",page - 11
